NEIGHBORHOOD,ZIP_CODE,PROP_TYPE,SQUARE_FEET,LOT_SIZE,NO_BEDROOMS,TOTAL_BATHS,TOTAL_PARKING_RN,FURNISHED_RN,PETS_ALLOWED_RN,SEC_DEPOSIT_RN,TERM_OF_RENTAL_RN,RENT_FEE_INCLUDES_RN,RENTAL_TERMS_RN,LIST_PRICE,Predicted_Rent
nan,2150,CC,410,,0,1,0,nan,nan,nan,nan,nan,nan,299950.0,2767.9192651898675
nan,2302,SF,1260,10446.0,3,1,0,nan,nan,nan,nan,nan,nan,519900.0,4088.251277851705
nan,2132,SF,2222,6009.0,4,3,0,nan,nan,nan,nan,nan,nan,1179000.0,5569.504654024235
nan,2043,SF,1582,11462.0,3,2,0,nan,nan,nan,nan,nan,nan,879900.0,6263.220647594542
nan,2189,SF,1680,13068.0,4,2,0,nan,nan,nan,nan,nan,nan,620000.0,5583.4634660313
nan,2116,CC,546,,1,2,0,nan,nan,nan,nan,nan,nan,699000.0,4235.688453239974
nan,2066,SF,2508,32130.0,3,3,0,nan,nan,nan,nan,nan,nan,999000.0,7524.357595809006
nan,2382,CC,1970,,2,2,0,nan,nan,nan,nan,nan,nan,399000.0,4893.556083700532
nan,2061,SF,5349,69696.0,5,5,0,nan,nan,nan,nan,nan,nan,1999000.0,7557.68531614948
nan,2347,SF,2833,466963.0,4,2,0,nan,nan,nan,nan,nan,nan,998000.0,5701.793653878655
nan,2360,SF,1664,19371.0,3,2,0,nan,nan,nan,nan,nan,nan,599999.0,5591.395724683931
nan,2347,CC,1279,,2,2,0,nan,nan,nan,nan,nan,nan,588000.0,4926.074923963293
nan,2127,SF,1734,2748.0,4,1,0,nan,nan,nan,nan,nan,nan,1100000.0,3744.4565144169183
nan,2476,SF,2752,12118.0,3,2,0,nan,nan,nan,nan,nan,nan,1100000.0,5493.022346780221
nan,2110,CC,1869,1869.0,3,2,0,nan,nan,nan,nan,nan,nan,2795000.0,6374.798077322603
nan,2109,CC,1524,1524.0,2,2,0,nan,nan,nan,nan,nan,nan,1650000.0,5694.982785504904
nan,2081,SF,1632,20010.0,4,2,0,nan,nan,nan,nan,nan,nan,765000.0,6047.268945903516
nan,1760,CC,2250,,3,4,0,nan,nan,nan,nan,nan,nan,1170000.0,7156.407773593646
nan,1742,CC,2098,92047.0,3,3,0,nan,nan,nan,nan,nan,nan,1100000.0,7426.647146127699
nan,1605,MF,3394,8975.0,5,3,0,nan,nan,nan,nan,nan,nan,690000.0,7065.836999363534
nan,2747,SF,2307,130680.0,4,2,0,nan,nan,nan,nan,nan,nan,499800.0,5582.903617096184
nan,2745,MF,2344,5401.44,6,2,0,nan,nan,nan,nan,nan,nan,575000.0,5488.3615593248815
nan,1906,SF,2079,17755.0,3,3,0,nan,nan,nan,nan,nan,nan,749900.0,7434.329188940452
nan,2766,SF,1599,15000.0,3,2,0,nan,nan,nan,nan,nan,nan,369900.0,5582.995952877338
nan,1834,SF,1536,43560.0,4,2,0,nan,nan,nan,nan,nan,nan,515000.0,6061.439020118881
nan,1760,SF,1328,10406.0,3,1,0,nan,nan,nan,nan,nan,nan,600000.0,4614.079200834379
nan,2053,SF,3138,26571.0,5,3,0,nan,nan,nan,nan,nan,nan,895000.0,7346.327605196774
nan,2145,MF,2689,3970.0,4,2,0,nan,nan,nan,nan,nan,nan,1179000.0,5211.921764444695
nan,2141,CC,1550,,3,3,0,nan,nan,nan,nan,nan,nan,1199000.0,5022.170336547793
nan,2766,CC,1852,0.0,2,3,0,nan,nan,nan,nan,nan,nan,529900.0,5044.924545492978
nan,2382,MF,1801,38616.0,3,2,0,nan,nan,nan,nan,nan,nan,582900.0,5606.95187176189
nan,1527,SF,1268,13504.0,3,2,0,nan,nan,nan,nan,nan,nan,450000.0,5988.563555648656
nan,1420,CC,1208,,1,2,0,nan,nan,nan,nan,nan,nan,319000.0,4545.472584686405
nan,2189,SF,2000,8712.0,3,3,0,nan,nan,nan,nan,nan,nan,799000.0,5498.071340986097
nan,2072,SF,4190,30056.0,3,3,0,nan,nan,nan,nan,nan,nan,850000.0,7427.543637631268
nan,1568,SF,2240,90169.0,4,3,0,nan,nan,nan,nan,nan,nan,700000.0,7190.5212161875625
nan,2368,SF,1194,17212.0,3,2,0,nan,nan,nan,nan,nan,nan,569195.0,5480.76137703413
nan,1880,MF,1935,4112.0,4,3,0,nan,nan,nan,nan,nan,nan,799900.0,6893.133180405039
nan,2148,SF,1512,5942.0,3,2,0,nan,nan,nan,nan,nan,nan,749000.0,5290.3950450771645
nan,1844,SF,1406,7579.0,3,1,0,nan,nan,nan,nan,nan,nan,499000.0,4453.871455740225
nan,1923,CC,1926,,2,3,0,nan,nan,nan,nan,nan,nan,549000.0,6047.511849535348
nan,1453,SF,1948,15000.0,4,3,0,nan,nan,nan,nan,nan,nan,489000.0,7206.427891284729
nan,1453,CC,786,,2,1,0,nan,nan,nan,nan,nan,nan,219900.0,3726.2977512623897
nan,1801,CC,2300,,3,3,0,nan,nan,nan,nan,nan,nan,1210040.0,6812.9378091643575
nan,2128,MF,1500,1575.0,4,4,0,nan,nan,nan,nan,nan,nan,1099000.0,5229.789078967295
nan,1475,SF,1746,37897.0,3,1,0,nan,nan,nan,nan,nan,nan,425000.0,4614.912485748623
nan,2453,CC,688,,2,1,0,nan,nan,nan,nan,nan,nan,475000.0,3538.1432004547714
nan,2571,SF,1448,0.1,3,2,0,nan,nan,nan,nan,nan,nan,519000.0,5066.144413742708
nan,1516,SF,2208,54189.0,3,1,0,nan,nan,nan,nan,nan,nan,425000.0,4983.92204004298
nan,2382,SF,2421,16501.0,3,3,0,nan,nan,nan,nan,nan,nan,589999.0,5696.062485634158
nan,1453,SF,2151,11260.0,4,3,0,nan,nan,nan,nan,nan,nan,599900.0,7186.528530045365
nan,2458,CC,3195,,4,4,0,nan,nan,nan,nan,nan,nan,1698000.0,5376.012453791867
nan,1450,SF,6855,71936.0,5,5,0,nan,nan,nan,nan,nan,nan,1800000.0,7557.68531614948
nan,2364,SF,3237,117612.0,4,3,0,nan,nan,nan,nan,nan,nan,1159000.0,6109.603687342498
nan,1610,MF,3948,5000.0,7,3,0,nan,nan,nan,nan,nan,nan,715000.0,6946.544563043126
nan,1921,SF,3000,87120.0,4,3,0,nan,nan,nan,nan,nan,nan,650000.0,7274.411787159725
nan,1524,SF,2556,14985.0,3,2,0,nan,nan,nan,nan,nan,nan,475000.0,6772.509061365054
Hickory Hills,1462,SF,1700,24393.0,3,2,0,nan,nan,nan,nan,nan,nan,899900.0,
nan,2128,CC,1035,,3,2,0,nan,nan,nan,nan,nan,nan,629900.0,4537.804954183919
nan,2359,SF,1465,8691.0,3,1,0,nan,nan,nan,nan,nan,nan,525000.0,4076.718849769515
nan,2494,SF,3630,10019.0,4,4,0,nan,nan,nan,nan,nan,nan,1749000.0,6025.465103372599
nan,1532,SF,1025,12319.0,3,1,0,nan,nan,nan,nan,nan,nan,484900.0,4487.239126730363
nan,2536,SF,904,10698.0,2,2,0,nan,nan,nan,nan,nan,nan,474000.0,5383.864733292391
nan,2122,SF,1197,1520.0,3,1,0,nan,nan,nan,nan,nan,nan,579900.0,3437.8539597372182
nan,1605,MF,2125,5500.0,4,2,0,nan,nan,nan,nan,nan,nan,475000.0,6216.352154635013
Parker Village,1826,SF,2480,43533.0,5,4,0,nan,nan,nan,nan,nan,nan,729900.0,
nan,1904,SF,781,4938.0,2,1,0,nan,nan,nan,nan,nan,nan,499000.0,4178.441826281587
nan,2125,CC,817,817.0,2,1,0,nan,nan,nan,nan,nan,nan,499995.0,3430.1140022816476
nan,1701,MF,2345,33193.0,5,2,0,nan,nan,nan,nan,nan,nan,839000.0,6655.399086226598
nan,2703,CC,1440,,2,3,0,nan,nan,nan,nan,nan,nan,379900.0,5044.152196648944
nan,2760,CC,1236,,2,2,0,nan,nan,nan,nan,nan,nan,399900.0,4838.192062920036
nan,2360,CC,1534,9999.0,3,3,0,nan,nan,nan,nan,nan,nan,479900.0,5683.898781079031
nan,2141,MF,4263,3699.0,10,5,0,nan,nan,nan,nan,nan,nan,2350000.0,5609.226837493878
nan,2476,CC,642,,1,1,0,nan,nan,nan,nan,nan,nan,349000.0,3357.58850344031
nan,2143,CC,551,,0,1,0,nan,nan,nan,nan,nan,nan,599900.0,3202.9895417971957
nan,1876,SF,1413,6542.0,3,2,0,nan,nan,nan,nan,nan,nan,589000.0,6065.965835870757
nan,2127,CC,2401,,3,3,0,nan,nan,nan,nan,nan,nan,2749000.0,4759.634599850096
nan,2132,CC,983,,2,2,0,nan,nan,nan,nan,nan,nan,700000.0,4449.655774475918
nan,1524,SF,1750,10890.0,5,2,0,nan,nan,nan,nan,nan,nan,285000.0,6143.928071596794
nan,2135,CC,570,570.0,1,1,0,nan,nan,nan,nan,nan,nan,419000.0,3393.6745442107367
River Point,2359,SF,3544,40000.0,3,4,0,nan,nan,nan,nan,nan,nan,1150000.0,
Green Harbor,2050,SF,1805,24300.0,3,2,0,nan,nan,nan,nan,nan,nan,739900.0,
Telegraph Hill,2050,SF,3812,44866.0,4,4,0,nan,nan,nan,nan,nan,nan,1295000.0,
nan,1801,SF,4220,17424.0,6,4,0,nan,nan,nan,nan,nan,nan,1230000.0,7623.485841193673
nan,2184,SF,1139,7327.0,3,2,0,nan,nan,nan,nan,nan,nan,570000.0,5375.882166117347
nan,1864,SF,1679,43560.0,3,1,0,nan,nan,nan,nan,nan,nan,639900.0,4608.711049148792
Wildwood Glenwood Estates,1748,SF,3500,26258.0,4,4,0,nan,nan,nan,nan,nan,nan,1159000.0,
nan,2184,SF,2508,14985.0,3,2,0,nan,nan,nan,nan,nan,nan,799988.0,5555.987731841951
nan,2169,CC,1176,,2,2,0,nan,nan,nan,nan,nan,nan,510000.0,4721.44286716403
nan,2170,MF,3291,4200.0,4,3,0,nan,nan,nan,nan,nan,nan,1000000.0,5650.571527496861
nan,2135,CC,874,832.0,2,1,0,nan,nan,nan,nan,nan,nan,429000.0,3681.6203444336898
nan,2048,SF,2490,32305.0,4,2,0,nan,nan,nan,nan,nan,nan,749900.0,6579.509963155031
nan,2649,SF,1365,20691.0,3,2,0,nan,nan,nan,nan,nan,nan,545999.0,5618.418512477996
nan,2649,CC,1333,,2,2,0,nan,nan,nan,nan,nan,nan,599900.0,4913.809764907104
nan,1566,SF,1152,21780.0,3,2,0,nan,nan,nan,nan,nan,nan,549000.0,6006.210030508746
nan,2141,CC,1049,,2,2,0,nan,nan,nan,nan,nan,nan,799000.0,4620.420382290275
nan,2790,SF,2312,60000.0,3,3,0,nan,nan,nan,nan,nan,nan,699900.0,5580.189065825956
West Billerica,1862,SF,1834,34500.0,4,2,0,nan,nan,nan,nan,nan,nan,799999.0,
nan,1851,MF,3557,4792.0,7,4,0,nan,nan,nan,nan,nan,nan,825000.0,7395.5162724416305
nan,1854,MF,14921,6201.0,21,14,0,nan,nan,nan,nan,nan,nan,1889000.0,7206.434927199647
nan,2420,CC,1437,,2,3,0,nan,nan,nan,nan,nan,nan,819000.0,5053.628075687455
